cholesterol,gluc,smoke,alco,active,count
2,1,0,1,0,19
3,3,0,0,0,220
1,2,0,1,0,7
1,2,1,0,0,10
3,3,1,0,1,46
3,3,0,1,1,21
1,2,1,0,1,64
3,2,0,0,0,17
1,1,0,1,1,507
3,1,0,0,1,515
1,1,1,0,0,245
1,2,1,1,0,3
2,1,1,0,1,157
2,3,0,1,0,1
1,3,0,1,0,4
3,1,1,1,1,22
2,3,1,0,0,1
1,2,0,1,1,36
1,3,0,0,0,119
2,2,1,1,1,26
2,2,1,1,0,4
1,1,1,0,1,1453
2,2,0,1,0,9
2,1,1,1,1,89
2,3,0,0,1,102
1,1,0,1,0,94
3,2,1,0,0,2
2,2,1,0,1,55
3,3,0,0,1,756
3,1,0,0,0,97
3,2,0,1,1,3
1,1,0,0,1,19388
2,1,0,0,1,1834
2,3,1,1,1,6
3,3,0,1,0,2
1,1,1,1,1,693
3,3,1,0,0,5
3,1,0,1,0,4
1,2,1,1,1,32
3,1,1,0,0,11
3,3,1,1,0,3
1,3,0,1,1,21
1,3,0,0,1,571
2,1,1,0,0,29
1,3,1,0,0,9
2,2,0,0,1,684
1,3,1,1,1,22
2,2,0,1,1,30
3,1,1,1,0,4
2,1,0,1,1,108
2,1,0,0,0,409
2,3,1,0,1,12
1,2,0,0,0,186
3,3,1,1,1,11
2,3,0,0,0,20
3,2,1,1,1,3
2,3,1,1,0,2
2,2,1,0,0,11
3,1,1,0,1,41
2,3,0,1,1,8
3,2,0,1,0,2
3,2,1,0,1,9
1,1,1,1,0,93
1,3,1,0,1,48
1,3,1,1,0,2
1,1,0,0,0,4519
2,2,0,0,0,167
2,1,1,1,0,15
1,2,0,0,1,692
3,1,0,1,1,35
3,2,0,0,1,60
